State,County_x,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",Economic_typology_2015,POP_ESTIMATE_2018,N_POP_CHG_2018,Births_2018,Youth_rate,Deaths_2018,NATURAL_INC_2018,INTERNATIONAL_MIG_2018,DOMESTIC_MIG_2018,NET_MIG_2018,RESIDUAL_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,POVALL_2018,PCTPOVALL_2018,POV017_2018,PCTPOV017_2018,Metro_2013,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,have_confirmed_18,GEOID,AWATER,COUNTYFIPS,TotalHospitalsInCounty,TotalBedsInCounty,AREA,ATH,CTF,CTH,LEVEL 1,LEVEL 1 PEDIATRIC,LEVEL 3,LEVEL I,LEVEL I PEDIATRIC,"LEVEL I, LEVEL I PEDIATRIC","LEVEL I, LEVEL II PEDIATRIC","LEVEL I, LEVEL PEDIATRIC",LEVEL II,LEVEL II PEDIATRIC,"LEVEL II, LEVEL II PEDIATRIC","LEVEL II, LEVEL III PEDIATRIC","LEVEL II, LEVEL PEDIATRIC",LEVEL III,LEVEL III PEDIATRIC,"LEVEL III, LEVEL III PEDIATRIC",LEVEL IV,LEVEL PEDIATRIC,LEVEL V,NOT AVAILABLE,NOT DESIGNATED,PARC,REGIONAL TRAUMA CENTER,RPTC,RTC,RTH,TRAUMA SYSTEM HOSPITAL,TRF,TRH,UNCLASSIFIED,CHILDREN,CHRONIC DISEASE,CRITICAL ACCESS,GENERAL ACUTE CARE,LONG TERM CARE,MILITARY,PSYCHIATRIC,REHABILITATION,SPECIAL,WOMEN,NoOfAirports
AL,Houston,3,2,10261,22680,23681,15076,14.3,31.6,33,21,0,104722,349,1272,0.101927007,1180,92,39,224,263,-6,1416,12.16671848,11.28673569,0.879982783,0.37303618,2.142566776,2.515602956,17032,16.5,5158,21.9,1,45150,43325,1825,4,47993,96.215,FALSE,1069,4683050,1069,5,782,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,16
AL,Jackson,6,5,6526,15181,10238,5280,17.5,40.8,27.5,14.2,3,51736,-171,570,0.090130663,679,-109,10,-69,-59,-3,597,10.99929566,13.10266974,-2.103374082,0.192970099,-1.331493685,-1.138523586,10046,19.7,2834,26.8,0,23241,22286,955,4.1,41929,84.0581,FALSE,1071,126334709,1071,1,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,88
AL,Jefferson,1,1,46025,120037,137208,145462,10.3,26.8,30.6,32.4,0,659300,-246,8412,0.10935386,7306,1106,462,-1783,-1321,-31,16694,12.75660691,11.07938304,1.677223876,0.700612505,-2.703878997,-2.003266492,103604,16.1,33329,22.6,1,314014,302359,11655,3.7,55013,110.2885,TRUE,1073,32885044,1073,13,3393,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,1,1,1,0,0,94
AL,Lamar,8,7,1741,3950,2967,1235,17.6,39.9,30,12.5,3,13844,-58,135,0.085885582,195,-60,-1,4,3,-1,217,9.731132416,14.05608016,-4.32494774,-0.072082462,0.288329849,0.216247387,2374,17.4,739,25.3,0,5721,5503,218,3.8,40936,82.0673,FALSE,1075,1600679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
AL,Lauderdale,3,2,7979,22812,17453,15185,12.6,36,27.5,23.9,0,92387,-204,866,0.082143592,1116,-250,28,22,50,-4,2086,9.363275633,12.06629978,-2.703024143,0.302738704,0.237866125,0.540604829,12645,14,3196,17.9,1,42141,40375,1766,4.2,48707,97.6464,FALSE,1077,133608930,1077,1,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
AL,Lawrence,3,2,4919,9710,6028,2738,21,41.5,25.8,11.7,3,32957,-120,358,0.09099736,411,-53,-3,-61,-64,-3,229,10.84289911,12.44813278,-1.605233668,-0.090862283,-1.847533089,-1.938395372,6297,19.3,2200,31.4,1,13919,13336,583,4.2,43909,88.0275,FALSE,1079,68682382,1079,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26
AL,Lee,3,2,9049,22855,30707,32377,9.5,24.1,32.3,34.1,4,163941,2300,1865,0.091362136,1114,751,347,1206,1553,-4,4958,11.4564073,6.843130149,4.613277147,2.13156747,7.408271956,9.539839426,30075,19,6608,19.3,1,74654,71951,2703,3.6,48937,98.1075,TRUE,1081,21492291,1081,1,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,47
AL,Limestone,2,2,10123,19463,18341,16367,15.7,30.3,28.5,25.5,4,96174,2098,995,0.085948385,842,153,34,1905,1939,6,2696,10.45992116,8.85151117,1.608409987,0.357424442,20.02628121,20.38370565,10633,11.4,3377,15.8,1,42393,40890,1503,3.5,64863,130.0355,TRUE,1083,122329729,1083,2,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5
AL,Lowndes,2,2,1588,2722,1750,996,22.5,38.6,24.8,14.1,3,9974,-130,119,0.108883096,138,-19,-2,-110,-112,1,96,11.8537703,13.74638908,-1.892618787,-0.19922303,-10.95726666,-11.15648969,2474,25.1,886,39.6,1,3625,3360,265,7.3,33973,68.1081,FALSE,1085,23721835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
AL,Macon,6,6,2215,3658,3752,2510,18.3,30.1,30.9,20.7,4,18439,-372,172,0.086772602,243,-71,-2,-300,-302,1,1723,9.234899329,13.04697987,-3.812080537,-0.10738255,-16.10738255,-16.2147651,5031,30.2,1199,39.7,0,7816,7389,427,5.5,32495,65.145,FALSE,1087,11345392,1087,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
AL,Madison,2,2,21617,50768,69750,101650,8.9,20.8,28.6,41.7,4,366519,4854,4149,0.09323664,3207,942,531,3374,3905,7,8320,11.39547147,8.808213309,2.587258166,1.458422597,9.266888589,10.72531119,42667,11.9,13306,16.9,1,179752,173532,6220,3.5,63755,127.8142,TRUE,1089,28831382,1089,7,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,1,0,0,73
AL,Marengo,7,11,2192,5378,3869,2084,16.2,39.8,28.6,15.4,0,19066,-300,230,0.103902234,276,-46,2,-256,-254,0,254,11.96919234,14.36303081,-2.393838468,0.104079933,-13.32223147,-13.21815154,4499,24,1479,34.5,0,7589,7209,380,5,37733,75.646,FALSE,1091,14966620,1091,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
AL,Marion,7,11,4343,7435,6770,2806,20.3,34.8,31.7,13.1,3,29763,-8,287,0.083728119,404,-117,1,111,112,-3,750,9.641549367,13.57207646,-3.930527094,0.033594249,3.728961602,3.76255585,5844,20.2,1664,27.4,0,12549,12036,513,4.1,37887,75.9548,FALSE,1093,3184076,1093,2,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,71
