AUC,LogLoss,f1_score,model_id,model_type,Precision,sample_pct,threshold,Recall,Tuned Parameters
87.27%,0.1245,53.33%,5feb70eb50d00fb6f423cda4,Auto-Tuned Word N-Gram Text Modeler using token occurrences and tfidf - title,59.15%,63.85,0.349,48.55%,0
,,,,,,,,,
87.45%,0.1271,52.77%,5fea4632794b82873bb75755,Auto-Tuned Word N-Gram Text Modeler using token occurrences - title,60.45%,100.00,0.328,46.82%,0
89.50%,0.1289,49%,5fea4262bb2533fc545b8764,RuleFit Classifier,51.25%,31.87,0.194,47.40%,
,,,,,,,,,
86.78%,0.1297,51.88%,5fea45308df705e34db631ae,Auto-Tuned Word N-Gram Text Modeler using token occurrences - title,56.46%,79.90,0.237,47.98%,0
84.00%,0.1409,46.51%,5fea4262bb2533fc545b875e,Auto-Tuned Word N-Gram Text Modeler using token occurrences - title,54.69%,31.87,0.207,40.46%,0
81.83%,0.1558,33.80%,5fea452e8df705e34db6319a,Auto-Tuned Word N-Gram Text Modeler using token occurrences - location,32.97%,79.90,0.204,34.68%,0
81.39%,0.1575,33.22%,5feb8fb718ea463d0e23d0d4,Auto-Tuned Word N-Gram Text Modeler using token occurrences - location,38.06%,79.90,0.279,29.48%,3
80.70%,0.1582,33.77%,5feb8fd6e7ffc1c8fd23d59a,Auto-Tuned Word N-Gram Text Modeler using token occurrences and tfidf - location,39.53%,79.90,0.264,29.48%,5
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
