ALERT,SAR,kycRiskScore,income,tenureMonths,creditScore,state,nbrPurchases90d,avgTxnSize90d,totalSpend90d,csrNotes,nbrDistinctMerch90d,nbrMerchCredits90d,nbrMerchCreditsRndDollarAmt90d,totalMerchCred90d,nbrMerchCreditsWoOffsettingPurch,nbrPayments90d,totalPaymentAmt90d,overpaymentAmt90d,overpaymentInd90d,nbrCustReqRefunds90d,indCustReqRefund90d,totalRefundsToCust90d,nbrPaymentsCashLike90d,maxRevolveLine,indOwnsHome,nbrInquiries1y,nbrCollections3y,nbrWebLogins90d,nbrPointRed90d,PEP
1,1,1,109100,39,667,MA,180,409.43,73697.4,customer call password change card replace moneyorder payment,85,12,3,4958.13,5,2,73697.4,0,0,1,1,50.72,2,14000,1,5,0,8,3,0
1,0,1,3600,1,731,MA,0,9.07,0,card replace plastic replace transfer,0,0,0,0,0,8,60,60,1,1,1,60,0,11000,1,1,0,8,1,0
1,0,1,13100,47,737,NY,6,79.65,477.9,statement transfer   statement,0,0,0,0,0,4,477.9,0,0,1,1,25.12,0,11000,0,1,0,11,1,0
1,0,2,21400,38,749,VT,12,96.39,1156.68, ,6,1,0,95,0,3,60,0,0,1,1,54.35,0,20000,1,4,0,7,3,0
1,0,4,63600,7,702,VT,10,189.42,1894.2, ,7,1,0,188.27,0,6,1894.2,0,0,1,1,38.36,4,10000,1,2,0,90,2,0
1,1,1,152400,24,703,CT,111,861.76,95655.36,password change card replace password change withdraw limit,55,17,2,14664.15,11,4,95655.36,0,0,1,1,34.22,4,12000,1,4,0,8,2,0
1,0,2,29900,23,709,CT,5,88.12,440.6,change request password change late payment statement,3,0,0,0,0,3,440.6,0,0,1,1,49.24,0,11000,1,3,0,4,0,0
1,0,1,10300,44,748,NY,5,54.78,273.9, ,3,0,0,0,0,4,2724.4,2450.5,1,2,1,2500.92,4,18000,1,2,0,3,1,0
1,0,0,64500,53,780,MA,7,119.6,837.2, ,6,0,0,0,0,3,837.2,0,0,1,1,54.91,0,13000,1,2,1,8,0,0
1,0,2,61700,24,671,RI,47,310.27,14582.69, ,18,4,1,1225.17,2,8,14582.69,0,0,1,1,21.05,8,19000,0,2,0,4,0,0
1,0,4,57800,10,673,CT,10,39.89,398.9, ,6,2,1,85.92,0,4,398.9,0,0,1,1,70.45,0,15000,1,1,0,7,2,0
1,0,2,28000,14,761,NY,4,46.62,186.48,card replace late payment   statement,3,0,0,0,0,2,186.48,0,0,1,1,53.97,0,11000,0,2,0,4,0,0
1,1,5,33000,52,731,CT,8,2.28,18.24, ,7,0,0,0,0,4,60,41.76,1,4,1,151.59,0,11000,1,3,0,6,1,0
1,0,1,26700,13,695,MA,13,73.15,950.95,billing address plastic replace  ,5,1,0,73.63,0,3,950.95,0,0,1,1,34.87,0,17000,1,2,0,2,2,0
1,0,2,64100,5,692,NY,25,209.58,5239.5,customer call billing address   overseas atm,10,4,0,835.36,2,5,5239.5,0,0,1,1,69.75,5,17000,0,3,0,7,1,0
1,0,0,67600,10,773,CT,3,66.08,198.24,billing address late payment late payment,1,1,0,65.65,0,3,60,0,0,1,1,60.07,0,10000,1,3,0,8,0,0
1,0,2,78500,24,696,MA,36,158.07,5690.52,statement change request card replace,20,2,1,294.82,1,5,284.53,0,0,1,1,39.06,5,14000,1,4,0,4,0,0
1,0,1,86900,24,724,MA,82,87.68,7189.76,statement plastic replace transfer,47,5,1,423.28,4,3,7189.76,0,0,1,1,35.78,3,13000,1,4,0,16,1,0
1,0,0,18900,2,691,RI,7,32.8,229.6, ,4,0,0,0,0,3,60,0,0,1,1,16.46,0,7000,1,4,0,7,1,0
1,0,1,36200,6,725,NY,1,460.62,460.62, ,0,0,0,0,0,2,3249.51,2788.89,1,1,1,2821.35,2,15000,1,1,0,3,1,0
1,0,3,15000,74,769,RI,1,407.79,407.79, ,1,1,0,410.94,0,4,407.79,0,0,1,1,3.15,4,13000,1,5,0,7,3,0
1,0,1,13200,4,800,MA,15,28.14,422.1, ,7,2,0,54.94,1,4,60,0,0,1,1,61.61,1,9000,0,4,0,6,1,0
1,1,0,108000,42,691,NJ,40,247.31,9892.4,billing address change request billing address atm denied,19,7,1,1746.48,4,2,494.62,0,0,1,1,49.83,2,18000,0,1,1,6,1,0
1,0,3,14600,19,742,ME,2,125.75,251.5, ,1,0,0,0,0,4,251.5,0,0,1,1,56.96,0,11000,0,4,0,8,3,0
1,0,2,122400,4,800,MA,40,76.6,3064,late payment transfer late payment,21,1,0,75.98,1,4,153.2,0,0,1,1,24.23,0,14000,0,1,0,6,2,0
1,0,2,57700,24,696,ME,6,169.67,1018.02, ,1,0,0,0,0,2,1018.02,0,0,1,1,70.09,0,9000,0,3,0,6,1,0
1,0,1,145300,19,680,MA,13,29.26,380.38, ,6,3,1,80.1,1,6,380.38,0,0,1,1,33.98,1,10000,1,4,1,8,0,0
1,0,0,0,5,753,ME,0,347.37,0, ,0,0,0,0,0,4,60,60,1,1,1,60,0,8000,1,2,0,8,1,0
1,0,1,5300,65,672,RI,5,22.85,114.25, ,3,0,0,0,0,8,114.25,0,0,1,1,51.7,0,7000,1,3,0,9,0,0
1,0,1,15800,38,769,NY,10,121.42,1214.2,customer call transfer transfer,3,1,1,130,0,3,1214.2,0,0,1,1,84.17,1,10000,0,5,0,5,1,0
1,0,1,47200,2,717,NJ,13,54.3,705.9,transfer password change  ,7,1,0,53.73,1,2,945.77,239.87,1,1,1,294.2,1,8000,1,1,0,6,2,0
1,1,1,88000,12,660,NY,13,1133.45,14734.85, ,3,1,0,1137,0,6,23346.64,8611.79,1,1,1,8686.27,6,16000,0,3,0,1,1,0
1,0,1,9800,17,712,ME,6,355.52,2133.12,card replace customer call customer call cash,4,2,0,708.54,1,6,2066.24,0,0,1,1,38.2,6,9000,1,2,0,7,0,0
1,0,1,23200,12,683,CT,6,45.54,273.24, ,2,0,0,0,0,2,60,0,0,1,1,47.04,0,14000,1,5,0,5,2,0
1,0,2,29400,20,626,NY,6,149.05,894.3,statement change request customer call statement,2,0,0,0,0,2,894.3,0,0,1,1,53.33,0,12000,1,3,1,6,1,0
1,0,2,0,15,701,ME,0,0,0, ,0,0,0,0,0,7,60,60,1,1,1,60,0,6000,0,4,0,8,2,0
1,0,3,55100,6,709,MA,65,0,0,statement late payment customer call,33,1,1,0,0,6,60,60,1,3,1,60,0,17000,1,4,0,9,1,0
1,0,1,1600,30,700,ME,0,23.38,0,transfer card replace transfer,0,0,0,0,0,2,60,60,1,2,1,60,0,19000,0,5,0,5,0,0
1,0,1,29800,9,733,MA,3,27.16,81.48, ,0,0,0,0,0,4,60,0,0,1,1,48.95,0,8000,0,2,0,11,1,0
1,0,1,41400,58,746,NY,40,95.55,3822,change request plastic replace customer call,20,4,1,401.29,2,5,3822,0,0,1,1,41.7,5,20000,1,4,0,7,3,0
1,0,0,76200,8,708,NJ,114,42.56,4851.84,    statement,50,5,1,222.56,2,2,4851.84,0,0,1,1,102.53,2,15000,1,5,0,8,1,0
1,0,1,29300,6,716,CT,31,144.72,4486.32,late payment plastic replace late payment cash,11,3,0,433.89,3,3,7391.49,2905.17,1,3,1,2958.48,3,10000,1,1,0,5,2,0
1,0,2,53700,39,703,ME,17,72.84,1238.28,change request customer call change request,9,1,0,72.64,0,3,1238.28,0,0,1,1,33.96,0,10000,1,6,0,9,0,0
1,0,1,29700,16,679,CT,23,21.53,495.19,billing address card replace statement,12,4,0,84.16,1,4,495.19,0,0,1,1,34.56,1,15000,1,1,0,5,0,0
1,0,1,115600,24,703,RI,10,67.2,672, ,8,1,0,66.32,1,3,672,0,0,1,1,52.75,0,14000,1,4,1,6,0,0
1,0,0,13600,17,706,MA,0,131.23,0,card replace billing address card replace,0,0,0,0,0,5,60,60,1,1,1,60,0,8000,1,3,0,6,3,0
1,0,3,113100,27,701,CT,35,270.99,9484.65,  password change transfer,17,2,0,539.18,0,3,9484.65,0,0,1,1,81.01,3,17000,1,1,0,7,0,0
1,0,3,34200,1,701,MA,0,327.07,0, ,0,0,0,0,0,4,60,60,1,1,1,60,0,14000,1,2,0,5,2,0
1,0,1,23000,11,710,MA,35,0,0,statement late payment late payment,21,8,1,0,0,3,60,60,1,2,1,60,0,16000,0,1,0,5,0,0
1,0,1,33300,12,653,PA,10,8.92,89.2, ,5,2,0,17.54,0,4,89.2,0,0,1,1,47.8,0,10000,0,0,1,6,0,0
1,0,0,113500,132,764,NJ,30,73.58,2207.4,transfer billing address change request atm limit,12,3,0,219.12,2,2,4920.41,2713.01,1,1,1,2771.58,2,7000,1,5,0,6,1,0
1,0,1,24600,17,712,NY,0,43.4,0,card replace statement customer call,0,0,0,0,0,4,60,60,1,1,1,60,0,9000,0,6,1,9,1,0
1,0,1,9700,1,742,PA,1,7.12,7.12,plastic replace card replace  ,1,0,0,0,0,3,60,52.88,1,1,1,134.61,0,8000,1,9,0,11,3,0
1,0,2,76900,65,756,CT,34,8.48,288.32,late payment customer call change request,19,4,1,32.75,2,6,288.32,0,0,1,1,36.49,1,10000,1,0,0,8,2,0
1,0,2,68600,27,694,NJ,5,17.44,87.2,transfer transfer card replace statement,2,0,0,0,0,2,87.2,0,0,1,1,52.45,0,14000,1,2,0,3,0,0
1,0,2,53900,17,756,MA,85,117.91,10022.35,statement transfer transfer overseas atm,44,8,2,965.56,5,6,501.12,0,0,1,1,51.88,6,9000,1,2,0,8,2,0
1,0,1,52200,1,726,NY,7,205.39,1437.73,late payment plastic replace late payment statement,4,0,0,0,0,3,1437.73,0,0,1,1,54.32,0,11000,0,2,0,6,0,0
1,1,0,101100,6,732,MA,37,282.56,10454.72,"late payment   transfer lost cardrefund requested. supply additional details, call back",18,6,3,1650,2,3,522.74,0,0,1,1,46.64,3,14000,1,4,0,7,0,0
1,0,1,5000,5,716,NY,1,33.33,33.33,password change   late payment,1,0,0,0,0,4,60,26.67,1,1,1,59.63,0,7000,0,2,0,8,1,0
1,0,2,25700,13,741,ME,13,290.37,3774.81,statement customer call statement,6,1,1,296,0,3,3774.81,0,0,1,1,32.77,3,7000,0,2,0,7,1,0
1,0,1,88800,13,695,MA,15,192.29,2884.35,password change late payment transfer,8,1,1,215,0,4,2884.35,0,0,1,1,15.66,2,14000,1,5,1,5,0,0
1,0,1,37900,12,757,CT,25,111.95,2798.75, ,14,3,0,341.43,1,2,2798.75,0,0,1,1,33.69,2,13000,1,4,0,6,1,0
1,0,3,24600,12,682,NY,4,68.39,273.56, ,2,0,0,0,0,5,273.56,0,0,1,1,59.03,0,7000,1,3,0,10,0,0
1,1,2,86000,15,705,NY,44,366.38,16120.72,  statement   atm denied,22,6,0,2199.48,3,5,16120.72,0,0,1,1,35.54,5,8000,1,1,0,6,2,0
1,0,2,102800,15,695,MA,17,80.76,1372.92,billing address transfer late payment,9,1,0,81.27,0,2,1372.92,0,0,1,1,23.96,0,14000,0,4,0,9,0,0
1,0,1,55000,47,683,PA,39,20.65,805.35, ,17,3,0,61.74,1,5,60,0,0,1,1,48.19,0,14000,1,3,0,7,0,0
1,0,1,23100,14,752,CT,2,0,0, ,2,0,0,0,0,4,2709.48,2709.48,1,2,1,2709.48,4,13000,1,3,1,6,1,0
1,0,1,34200,14,759,NY,4,486.6,1946.4, ,0,0,0,0,0,3,1946.4,0,0,1,1,47.47,0,14000,1,1,0,4,3,0
1,1,1,96300,0,724,ME,118,387.24,45694.32,billing address plastic replace password change atm limit,55,13,2,5051.71,8,6,2284.72,0,0,1,1,46.16,6,22000,1,4,0,9,0,0
1,0,3,23500,8,753,NJ,47,0,0,billing address transfer late payment,26,4,2,0,1,5,60,60,1,1,1,60,0,14000,1,2,0,6,2,0
1,0,1,45300,4,729,ME,17,36.12,614.04, ,9,1,0,35.09,0,5,614.04,0,0,1,1,47.33,0,16000,0,4,0,8,0,0
1,0,3,54800,15,693,CT,9,65.75,591.75, ,4,0,0,0,0,4,591.75,0,0,1,1,75.34,0,12000,1,3,0,5,1,0
1,0,1,53000,25,745,CT,48,276.42,13268.16, ,23,4,0,1110.36,1,3,13268.16,0,0,1,1,82.45,3,9000,1,4,0,7,0,0
1,0,1,8800,2,728,ME,0,124.68,0, ,0,0,0,0,0,7,60,60,1,1,1,60,0,8000,1,5,1,6,1,0
1,0,2,11100,27,697,CT,4,535.42,2141.68, ,3,0,0,0,0,3,2141.68,0,0,1,1,33.73,0,7000,1,2,0,2,0,0
1,0,3,69300,17,671,PA,49,407,19943, ,26,3,1,1232.62,1,2,19943,0,0,1,1,33.61,2,11000,0,2,0,4,1,0
1,0,3,72600,32,765,MA,8,0,0, ,5,1,0,0,1,7,60,60,1,2,1,60,0,14000,0,8,0,4,1,0
1,0,2,21600,45,751,NY,31,279,8649,plastic replace customer call card replace,16,2,0,559.4,0,6,8649,0,0,1,1,54.55,6,8000,0,2,0,8,0,0
1,0,1,5300,2,714,CT,3,13.19,39.57,password change customer call card replace,3,0,0,0,0,6,60,20.43,1,2,1,38.3,0,12000,1,1,0,11,3,0
1,0,3,13700,77,700,MA,6,20.67,124.02, ,4,0,0,0,0,2,60,0,0,1,1,54.59,0,11000,1,3,0,10,3,0
1,0,0,41400,5,732,NY,6,69.85,419.1, ,3,0,0,0,0,2,669.9,250.8,1,1,1,285.34,0,13000,0,5,0,9,3,0
1,0,1,25300,68,768,MA,5,30.14,150.7,late payment   card replace statement,2,0,0,0,0,2,117.62,0,0,1,1,57.78,0,16000,0,2,0,6,1,0
1,0,1,68200,9,689,RI,34,11.07,376.38, ,14,5,2,58.4,2,3,376.38,0,0,1,1,41.32,0,14000,0,1,0,6,2,0
1,0,1,59200,0,712,NY,3,0,0, ,1,0,0,0,0,4,60,60,1,2,1,60,0,23000,1,4,2,11,0,0
1,0,1,112700,20,698,MA,115,57.8,6647,    password change,58,9,1,526.84,5,3,332.35,0,0,1,1,50.83,3,14000,0,3,0,8,0,0
1,0,2,24500,4,738,RI,7,401.81,2812.67, ,4,2,0,809.06,1,5,140.63,0,0,1,1,41.42,5,15000,1,3,0,7,1,0
1,0,0,74800,24,704,NY,18,0,0,billing address password change password change,11,2,0,0,0,2,60,60,1,1,1,60,0,13000,0,3,0,12,0,0
1,0,1,24000,1,742,MA,1,132.67,132.67, ,0,0,0,0,0,2,60,0,0,1,1,37.38,0,9000,1,2,0,9,0,0
1,0,2,68700,16,732,NY,67,12.15,814.05, ,27,8,0,93.36,5,4,814.05,0,0,1,1,53.91,0,6000,1,5,0,9,1,0
1,0,3,38100,77,683,MA,5,68.67,343.35, ,3,1,0,68.59,0,7,343.35,0,0,1,1,41.73,1,9000,1,6,0,9,1,0
1,0,1,37500,54,749,CT,3,24.81,74.43, ,2,1,0,24.82,0,3,74.43,0,0,1,1,55.31,0,8000,1,4,0,7,1,0
1,0,1,134700,1,682,NY,8,416.97,3335.76,transfer transfer transfer,3,0,0,0,0,7,166.79,0,0,1,1,48.88,0,10000,1,2,0,4,2,0
1,0,1,58600,48,717,NY,8,475.67,3805.36,password change plastic replace password change statement,4,0,0,0,0,3,190.27,0,0,1,1,49.1,0,12000,1,3,0,10,1,0
1,0,3,52500,88,727,MA,47,26.08,1225.76, ,28,5,2,137.91,0,4,2241.22,1015.46,1,2,1,1061.68,4,8000,0,5,0,8,1,0
1,0,1,47400,25,712,NJ,61,397.16,24226.76, ,38,7,1,2807.4,3,3,42540.18,18313.42,1,2,1,18365.51,3,14000,1,2,0,8,2,0
1,1,3,,5,710,PA,71,358.6,25460.6,statement password change customer call atm limit,40,4,2,1433.2,2,3,25460.6,0,0,1,1,61.76,3,16000,1,4,0,11,1,0
1,0,2,5600,52,745,MA,1,21.46,21.46, ,1,0,0,0,0,3,60,38.54,1,1,1,70.25,0,9000,1,2,0,12,2,0
1,0,2,58800,9,748,PA,4,126.53,506.12,transfer late payment password change statement,1,0,0,0,0,4,506.12,0,0,1,1,31.37,0,6000,1,2,0,10,0,0
1,0,1,21700,5,714,PA,8,0.59,4.72,change request plastic replace billing address,5,3,1,3.58,0,3,60,55.28,1,1,1,129.92,0,10000,1,2,0,8,2,0
1,0,3,38500,36,686,CT,8,699,5592,late payment plastic replace statement statement,3,0,0,0,0,3,5592,0,0,1,1,73.32,0,17000,1,2,0,8,0,0
1,0,5,53600,3,691,NY,47,0,0,password change statement late payment,29,6,2,0,2,3,60,60,1,1,1,60,0,14000,0,4,0,7,1,0
1,0,2,63100,19,735,CT,12,491.79,5901.48, ,6,1,0,493.26,0,5,5901.48,0,0,1,1,48.05,5,7000,1,3,0,7,1,0
1,1,1,103800,7,710,CT,27,350.77,9470.79, ,14,5,2,1722.89,2,4,9470.79,0,0,1,1,65.1,4,9000,1,2,0,3,2,0
1,0,2,20100,34,715,NY,29,69.09,2003.61,card replace customer call late payment,10,3,1,211.74,1,5,2003.61,0,0,1,1,46.34,2,9000,0,3,0,8,0,0
1,0,0,61400,16,732,MA,51,79.37,4047.87, ,26,8,2,629.16,3,2,4047.87,0,0,1,1,35.72,2,13000,0,0,0,10,2,0
1,0,0,4500,1,705,CT,2,199.67,399.34,customer call statement billing address,1,0,0,0,0,2,514.41,115.07,1,1,1,153.96,1,23000,1,4,0,13,0,0
1,0,2,64900,36,746,NY,23,385.49,8866.27,plastic replace plastic replace statement statement,9,0,0,0,0,3,8866.27,0,0,1,1,35.63,0,15000,0,2,0,4,0,0
1,0,3,35000,6,699,MA,2,25.6,51.2,billing address late payment billing address,1,0,0,0,0,4,60,8.8,1,1,1,62.47,0,10000,1,2,0,9,0,0
1,0,3,22200,28,651,NY,4,80.49,321.96,  card replace customer call,1,1,0,81.39,0,3,321.96,0,0,1,1,63.12,0,11000,1,1,0,7,0,0
1,0,1,60200,4,715,CT,20,38.7,774,customer call password change late payment,9,2,0,75.34,0,3,383.46,0,0,1,1,67.7,0,9000,1,4,1,12,1,0
1,0,0,21300,3,673,NY,3,15.37,46.11, ,2,0,0,0,0,4,60,13.89,1,1,1,29.24,0,14000,1,5,0,6,2,0
1,0,1,31100,31,752,PA,39,365.36,14249.04,customer call   card replace moneyorder payment,21,2,0,736.14,0,4,712.45,0,0,1,1,45.19,4,14000,1,4,1,10,0,0
1,0,0,27700,70,692,PA,40,22.03,881.2,  password change plastic replace,14,5,0,107.4,2,3,881.2,0,0,1,1,34.31,2,10000,1,1,0,10,2,0
1,1,2,43500,0,702,NY,0,338.37,0, ,0,0,0,0,0,2,60,60,1,2,1,60,0,20000,1,2,0,10,0,0
1,0,1,15300,33,793,NY,4,20.6,82.4,  plastic replace  ,2,1,0,20.26,1,2,82.4,0,0,1,1,35.52,0,12000,1,4,0,6,1,0
1,0,1,8600,11,659,RI,2,9.64,19.28,customer call plastic replace card replace,2,0,0,0,0,3,60,40.72,1,3,1,93.54,0,13000,1,1,0,12,1,0
1,0,2,97600,14,649,MA,95,2.85,270.75,change request change request late payment,45,5,0,14.55,4,3,253.64,0,0,1,1,31.29,0,11000,1,3,0,11,0,0
1,0,2,11800,34,703,MA,6,26.42,158.52, ,3,0,0,0,0,3,60,0,0,1,1,73.16,0,13000,0,5,0,9,0,0
1,0,3,56800,0,662,RI,49,46.62,2284.38,  customer call  ,31,5,0,235.15,1,5,2284.38,0,0,1,1,39.56,4,15000,0,5,0,8,0,0
1,0,1,35500,0,775,ME,54,105.59,5701.86,change request plastic replace late payment,32,2,1,203.73,0,2,5701.86,0,0,1,1,128.34,2,17000,0,4,0,3,0,0
1,0,2,24700,3,762,MA,3,142.76,428.28,  statement customer call statement,1,0,0,0,0,3,60,0,0,1,1,25.54,0,7000,1,7,0,8,1,0
1,0,0,106900,19,714,RI,160,3.64,582.4, ,77,23,7,92.92,9,2,582.4,0,0,1,1,37.23,1,11000,1,1,0,11,3,0
1,0,2,32500,19,712,VT,2,86.35,172.7,    statement cash,1,0,0,0,0,3,2962.1,2789.4,1,1,1,2840.18,3,14000,1,3,0,9,1,0
1,0,2,78300,23,694,CT,18,114.87,2067.66,password change statement  ,9,4,0,450.88,0,4,2067.66,0,0,1,1,33.07,4,15000,0,3,0,8,2,0
1,0,2,25000,6,724,NY,6,60.89,365.34,password change statement billing address,3,1,0,61.07,1,4,365.34,0,0,1,1,36.23,1,10000,0,3,1,7,1,0
1,0,0,35000,29,704,NY,3,0,0, ,2,0,0,0,0,5,60,60,1,1,1,60,0,18000,0,3,1,5,1,0
1,0,3,49600,14,731,PA,17,37.1,630.7, ,10,1,0,36.74,1,3,468.44,0,0,1,1,37.34,0,12000,0,3,0,9,0,0
1,0,1,41800,1,793,MA,17,142.63,2424.71, ,6,2,1,287.58,0,2,2424.71,0,0,1,1,20.82,2,10000,1,3,0,8,0,0
1,0,2,52500,11,735,RI,40,117.75,4710, ,19,7,1,812.2,3,3,4710,0,0,1,1,42.54,3,5000,1,6,1,7,2,0
1,0,1,47200,2,725,PA,11,137.05,1507.55,statement billing address billing address,4,1,0,137.35,0,6,1507.55,0,0,1,1,60.84,3,7000,1,6,0,6,0,0
1,0,2,27100,63,768,NY,4,56.47,225.88,  change request transfer statement,3,0,0,0,0,4,225.88,0,0,1,1,65.66,0,7000,1,3,0,7,0,0
1,0,2,43800,41,637,PA,7,0.06,0.42,billing address transfer card replace bitcoin,2,0,0,0,0,3,2601.47,2601.05,1,1,1,2639.02,3,6000,0,0,1,6,1,0
1,0,2,40700,13,698,ME,0,35.55,0, ,0,0,0,0,0,2,60,60,1,1,1,60,0,10000,1,4,0,11,1,0
1,0,2,55300,60,669,MA,5,36.09,180.45,customer call late payment  ,1,1,0,36.38,0,3,60,0,0,1,1,59.52,0,9000,1,3,0,9,1,0
