dataset,fname,label,sublabel
b,set_b/Btraining_normal_198_1308141739338_C.wav,normal,
b,set_b/Btraining_normal_201_1308144942432_A.wav,normal,
b,set_b/Btraining_normal_201_1308144942432_A1.wav,normal,
b,set_b/Btraining_normal_202_1308145175747_C.wav,normal,
b,set_b/Btraining_normal_202_1308145175747_D.wav,normal,
b,set_b/Btraining_normal_204_1308159229275_C.wav,normal,
b,set_b/Btraining_normal_204_1308159229275_D.wav,normal,
b,set_b/Btraining_normal_206_1308159601959_C.wav,normal,
b,set_b/Btraining_normal_207_1308159792607_C.wav,normal,
b,set_b/Btraining_normal_208_1308159994503_C.wav,normal,
b,set_b/Btraining_normal_209_1308162216750_A.wav,normal,
b,set_b/Btraining_normal_209_1308162216750_A1.wav,normal,
b,set_b/Btraining_normal_210_1308162935880_B.wav,normal,
b,set_b/Btraining_normal_210_1308162935880_B1.wav,normal,
b,set_b/Btraining_normal_210_1308162935880_D1.wav,normal,
b,set_b/Btraining_normal_210_1308162935880_D2.wav,normal,
b,set_b/Btraining_normal_213_1308245263936_C.wav,normal,
b,set_b/Btraining_normal_214_1308245489717_A.wav,normal,
b,set_b/Btraining_normal_215_1308245664733_C.wav,normal,
b,set_b/Btraining_normal_215_1308245664733_C1.wav,normal,
b,set_b/Btraining_normal_216_1308245839516_C.wav,normal,
b,set_b/Btraining_normal_217_1308246111629_C.wav,normal,
b,set_b/Btraining_normal_217_1308246111629_C1.wav,normal,
b,set_b/Btraining_normal_218_1308246311449_C.wav,normal,
b,set_b/Btraining_normal_218_1308246311449_C1.wav,normal,
b,set_b/Btraining_normal_220_1308250132896_C.wav,normal,
b,set_b/Btraining_normal_220_1308250132896_D.wav,normal,
b,set_b/Btraining_normal_224_1308337157445_C.wav,normal,
b,set_b/Btraining_normal_227_1308594233667_B.wav,normal,
b,set_b/Btraining_normal_227_1308594233667_C.wav,normal,
b,set_b/Btraining_normal_230_1308595300880_B.wav,normal,
b,set_b/Btraining_normal_230_1308595300880_C.wav,normal,
b,set_b/Btraining_normal_232_1308748524018_A.wav,normal,
b,set_b/Btraining_normal_232_1308748524018_B.wav,normal,
b,set_b/Btraining_normal_232_1308748524018_B1.wav,normal,
b,set_b/Btraining_normal_232_1308748524018_C.wav,normal,
b,set_b/Btraining_normal_232_1308748524018_D1.wav,normal,
b,set_b/Btraining_normal_235_1308749032454_C.wav,normal,
b,set_b/Btraining_normal_235_1308749032454_D.wav,normal,
b,set_b/Btraining_normal_237_1308750231222_C.wav,normal,
b,set_b/Btraining_normal_238_1309194586293_A.wav,normal,
b,set_b/Btraining_normal_238_1309194586293_B.wav,normal,
b,set_b/Btraining_normal_250_1309202496494_A.wav,normal,
b,set_b/Btraining_normal_250_1309202496494_B.wav,normal,
b,set_b/Btraining_normal_252_1309203336604_B.wav,normal,
b,set_b/Btraining_normal_256_1309351470137_A.wav,normal,
b,set_b/Btraining_normal_258_1309352253234_C.wav,normal,
b,set_b/Btraining_normal_260_1309353164458_C.wav,normal,
b,set_b/Btraining_normal_261_1309353556003_B.wav,normal,
b,set_b/Btraining_normal_262_1309355283807_A.wav,normal,
b,set_b/Btraining_normal_267_1309368735165_A.wav,normal,
b,set_b/Btraining_normal_270_1309369533040_C.wav,normal,
b,set_b/Btraining_normal_273_1309370841191_B.wav,normal,
b,set_b/Btraining_normal_274_1311075637574_A1.wav,normal,
b,set_b/Btraining_normal_274_1311075637574_B.wav,normal,
b,set_b/Btraining_normal_274_1311075637574_B1.wav,normal,
b,set_b/Btraining_normal_274_1311075637574_D.wav,normal,
b,set_b/Btraining_normal_278_1311163365896_A.wav,normal,
b,set_b/Btraining_normal_278_1311163365896_A1.wav,normal,
b,set_b/Btraining_normal_280_1311165195344_A.wav,normal,
b,set_b/Btraining_normal_282_1311166081161_C.wav,normal,
b,set_b/Btraining_normal_283_1311167409239_A.wav,normal,
b,set_b/Btraining_normal_286_1311170606028_A.wav,normal,
b,set_b/Btraining_normal_286_1311170606028_A1.wav,normal,
b,set_b/Btraining_normal_286_1311170606028_B1.wav,normal,
b,set_b/Btraining_normal_286_1311170606028_C.wav,normal,
b,set_b/Btraining_normal_290_1311182875320_A.wav,normal,
b,set_b/Btraining_normal_291_1311185210672_A.wav,normal,
b,set_b/Btraining_normal_294_1311681084248_A.wav,normal,
b,set_b/Btraining_normal_294_1311681084248_B.wav,normal,
b,set_b/Btraining_normal_294_1311681084248_D1.wav,normal,
b,set_b/Btraining_normal_295_1311682673157_D.wav,normal,
b,set_b/Btraining_normal_296_1311682952647_A1.wav,normal,
b,set_b/Btraining_normal_296_1311682952647_A2.wav,normal,
b,set_b/Btraining_normal_298_1311685888900_B.wav,normal,
b,set_b/Btraining_normal_299_1311770522820_C.wav,normal,
b,set_b/Btraining_normal_300_1311772096120_C1.wav,normal,
b,set_b/Bunlabelledtest_101_1305030823364_A.wav,,
b,set_b/Bunlabelledtest_101_1305030823364_D.wav,,
b,set_b/Bunlabelledtest_101_1305030823364_F.wav,,
b,set_b/Bunlabelledtest_103_1305031931979_A.wav,,
b,set_b/Bunlabelledtest_103_1305031931979_C.wav,,
b,set_b/Bunlabelledtest_105_1305033453095_B.wav,,
b,set_b/Bunlabelledtest_105_1305033453095_D.wav,,
b,set_b/Bunlabelledtest_106_1306776721273_B.wav,,
b,set_b/Bunlabelledtest_106_1306776721273_D.wav,,
b,set_b/Bunlabelledtest_107_1305654946865_B.wav,,
b,set_b/Bunlabelledtest_107_1305654946865_D.wav,,
b,set_b/Bunlabelledtest_108_1305654420093_C.wav,,
b,set_b/Bunlabelledtest_109_1305653646620_B.wav,,
b,set_b/Bunlabelledtest_109_1305653646620_D.wav,,
b,set_b/Bunlabelledtest_109_1305653972028_B.wav,,
b,set_b/Bunlabelledtest_109_1305653972028_D.wav,,
b,set_b/Bunlabelledtest_110_1305655332337_D.wav,,
b,set_b/Bunlabelledtest_112_1306243000964_C.wav,,
b,set_b/Bunlabelledtest_113_1306244002866_C.wav,,
b,set_b/Bunlabelledtest_115_1306259437619_D.wav,,
b,set_b/Bunlabelledtest_116_1306258689913_B.wav,,
b,set_b/Bunlabelledtest_117_1306262456650_B1.wav,,
b,set_b/Bunlabelledtest_118_1306262335509_A.wav,,
b,set_b/Bunlabelledtest_118_1306262335509_A1.wav,,
b,set_b/Bunlabelledtest_118_1306262335509_C2.wav,,
b,set_b/Bunlabelledtest_121_1306263877235_B.wav,,
b,set_b/Bunlabelledtest_122_1306325762831_A.wav,,
b,set_b/Bunlabelledtest_122_1306325762831_B.wav,,
b,set_b/Bunlabelledtest_123_1306331925797_A.wav,,
b,set_b/Bunlabelledtest_123_1306331925797_D.wav,,
b,set_b/Bunlabelledtest_125_1306332456645_B2.wav,,
b,set_b/Bunlabelledtest_126_1306777102824_C1.wav,,
b,set_b/Bunlabelledtest_126_1306777102824_D1.wav,,
b,set_b/Bunlabelledtest_127_1306764300147_D.wav,,
b,set_b/Bunlabelledtest_128_1306344005749_C.wav,,
b,set_b/Bunlabelledtest_129_1306344506305_B.wav,,
b,set_b/Bunlabelledtest_130_1306347376079_A.wav,,
b,set_b/Bunlabelledtest_132_1306758754432_A.wav,,
b,set_b/Bunlabelledtest_132_1306758754432_B.wav,,
b,set_b/Bunlabelledtest_132_1306758754432_D.wav,,
b,set_b/Bunlabelledtest_134_1306428161797_A.wav,,
b,set_b/Bunlabelledtest_134_1306428161797_B.wav,,
b,set_b/Bunlabelledtest_135_1306428972976_D.wav,,
b,set_b/Bunlabelledtest_136_1306429977501_A.wav,,
b,set_b/Bunlabelledtest_136_1306429977501_D.wav,,
b,set_b/Bunlabelledtest_137_1306764999211_A.wav,,
b,set_b/Bunlabelledtest_137_1306764999211_B1.wav,,
b,set_b/Bunlabelledtest_137_1306764999211_D2.wav,,
b,set_b/Bunlabelledtest_138_1306762146980_C.wav,,
b,set_b/Bunlabelledtest_139_1306519274653_B.wav,,
b,set_b/Bunlabelledtest_139_1306519274653_C.wav,,
b,set_b/Bunlabelledtest_141_1306520154450_A.wav,,
b,set_b/Bunlabelledtest_141_1306520154450_D.wav,,
b,set_b/Bunlabelledtest_142_1306763049574_C.wav,,
b,set_b/Bunlabelledtest_143_1306763822290_D.wav,,
b,set_b/Bunlabelledtest_144_1306522408528_A.wav,,
b,set_b/Bunlabelledtest_145_1307987561278_A.wav,,
b,set_b/Bunlabelledtest_145_1307987561278_D.wav,,
b,set_b/Bunlabelledtest_146_1306778707532_C.wav,,
b,set_b/Bunlabelledtest_146_1306778707532_D31.wav,,
b,set_b/Bunlabelledtest_147_1306523973811_D.wav,,
b,set_b/Bunlabelledtest_148_1306768801551_A.wav,,
b,set_b/Bunlabelledtest_148_1306768801551_C.wav,,
b,set_b/Bunlabelledtest_148_1306768801551_D.wav,,
b,set_b/Bunlabelledtest_149_1306776016110_C.wav,,
b,set_b/Bunlabelledtest_150_1306776340746_D.wav,,
b,set_b/Bunlabelledtest_151_1306779785624_A1.wav,,
b,set_b/Bunlabelledtest_152_1306779561195_B.wav,,
b,set_b/Bunlabelledtest_152_1306779561195_C.wav,,
b,set_b/Bunlabelledtest_152_1306779561195_D1.wav,,
b,set_b/Bunlabelledtest_153_1306848820671_D.wav,,
b,set_b/Bunlabelledtest_154_1306935608852_A.wav,,
b,set_b/Bunlabelledtest_154_1306935608852_A2.wav,,
b,set_b/Bunlabelledtest_154_1306935608852_D.wav,,
b,set_b/Bunlabelledtest_154_1306935608852_D1.wav,,
b,set_b/Bunlabelledtest_155_1306935902813_B.wav,,
b,set_b/Bunlabelledtest_155_1306935902813_B2.wav,,
b,set_b/Bunlabelledtest_155_1306935902813_D.wav,,
b,set_b/Bunlabelledtest_156_1306936373241_C.wav,,
b,set_b/Bunlabelledtest_156_1306936373241_D.wav,,
b,set_b/Bunlabelledtest_157_1306937583792_C.wav,,
b,set_b/Bunlabelledtest_159_1307018640315_A.wav,,
b,set_b/Bunlabelledtest_159_1307018640315_B.wav,,
b,set_b/Bunlabelledtest_159_1307018640315_C.wav,,
b,set_b/Bunlabelledtest_160_1307100683334_C.wav,,
b,set_b/Bunlabelledtest_161_1307101199321_D.wav,,
b,set_b/Bunlabelledtest_162_1307101835989_C.wav,,
b,set_b/Bunlabelledtest_163_1307104470471_B.wav,,
b,set_b/Bunlabelledtest_163_1307104470471_B1.wav,,
b,set_b/Bunlabelledtest_163_1307104470471_D.wav,,
b,set_b/Bunlabelledtest_164_1307106095995_D.wav,,
b,set_b/Bunlabelledtest_165_1307109069581_B.wav,,
b,set_b/Bunlabelledtest_167_1307111318050_C1.wav,,
b,set_b/Bunlabelledtest_167_1307111318050_D.wav,,
b,set_b/Bunlabelledtest_169_1307970398039_B.wav,,
b,set_b/Bunlabelledtest_169_1307970398039_C1.wav,,
b,set_b/Bunlabelledtest_170_1307970562729_D.wav,,
b,set_b/Bunlabelledtest_171_1307971016233_C.wav,,
b,set_b/Bunlabelledtest_171_1307971016233_F.wav,,
b,set_b/Bunlabelledtest_172_1307971284351_C.wav,,
b,set_b/Bunlabelledtest_172_1307971284351_D.wav,,
b,set_b/Bunlabelledtest_173_1307973611151_D.wav,,
b,set_b/Bunlabelledtest_174_1307987737137_C.wav,,
b,set_b/Bunlabelledtest_175_1307987962616_C.wav,,
b,set_b/Bunlabelledtest_176_1307988171173_A1.wav,,
b,set_b/Bunlabelledtest_176_1307988171173_C.wav,,
b,set_b/Bunlabelledtest_176_1307988171173_C1.wav,,
b,set_b/Bunlabelledtest_177_1307989650056_C.wav,,
b,set_b/Bunlabelledtest_178_1307989887769_A.wav,,
b,set_b/Bunlabelledtest_179_1307990076841_D1.wav,,
b,set_b/Bunlabelledtest_180_1307990956284_B.wav,,
b,set_b/Bunlabelledtest_180_1307990956284_D.wav,,
b,set_b/Bunlabelledtest_181_1308052613891_C.wav,,
b,set_b/Bunlabelledtest_184_1308073010307_C.wav,,
b,set_b/Bunlabelledtest_186_1308073648738_C.wav,,
b,set_b/Bunlabelledtest_186_1308073648738_D1.wav,,
b,set_b/Bunlabelledtest_187_1308073994223_C.wav,,
b,set_b/Bunlabelledtest_189_1308075231945_A.wav,,
b,set_b/Bunlabelledtest_189_1308075231945_C.wav,,
b,set_b/Bunlabelledtest_191_1308077299430_C.wav,,
b,set_b/Bunlabelledtest_191_1308077299430_D.wav,,
b,set_b/Bunlabelledtest_193_1308078104592_A.wav,,
b,set_b/Bunlabelledtest_193_1308078104592_D.wav,,
b,set_b/Bunlabelledtest_194_1308139824187_C.wav,,
b,set_b/Bunlabelledtest_195_1308140095331_D.wav,,
