loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,mths_since_last_major_derog,policy_code,is_bad
14000,14000, 60 months,13.99%,325.69,C,C3,Miele Inc,4 years,RENT,315600.0,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=851565,"  Borrower added on 08/14/11 > This Loan Is to help pay off my debt, which includes credit card bills and paying off my car. i have good credit and have always been on time with payments. this loan will help minimize all my monthly payments and have extra money in my pocket. I currently have a very stable job which i been at for the last 4 years and counting :). so there is a brief summery of my life and what i need help with. i hope some of you investors can take my current debt situation into consideration and help a friend out. thank you so much in advance!<br/>null",debt_consolidation,Debt Consolidation ,088xx,NJ,0.98,0.0,2/1/07,2.0,,,6.0,0.0,1555,24.7,10.0,f,,1,0
9000,9000, 36 months,7.14%,278.48,A,A3,Saint Louis University,4 years,MORTGAGE,141000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=573837,,major_purchase,Horse,633xx,MO,8.31,0.0,9/1/92,3.0,,,10.0,0.0,55142,45.8,24.0,f,,1,0
16000,16000, 60 months,22.35%,445.1,F,F5,Dynanet Corporation,1 year,MORTGAGE,120000.0,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1045966,"  Borrower added on 11/03/11 > This loan will serve two purposes, debt consolidation and medical expense.<br/>Borrower added on 11/03/11 > This loan will serve two purposes, debt consolidation and medical expense.<br/>",other,Consolidate,207xx,MD,21.16,4.0,7/1/86,1.0,4.0,,25.0,0.0,43109,72.3,49.0,f,,1,1
10000,10000, 36 months,5.42%,301.6,A,A1,KTTV 11 Fox TV,10+ years,MORTGAGE,120000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=727920,,major_purchase,toyotaRV,913xx,CA,6.98,0.0,7/1/80,0.0,,,15.0,0.0,78330,28.6,31.0,f,,1,0
5000,5000, 36 months,9.67%,160.57,B,B1,Herb's Pool Service Inc,10+ years,MORTGAGE,99600.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=782199,"  Borrower added on 06/09/11 > Medical expenses of a family member have been overwhelming but are now under control, just need to get short term help<br/> Borrower added on 06/09/11 > Medical expenses of a family member had been overwhelming but are now under control, need short term help<br/>",medical,jbs rehab,954xx,CA,15.22,0.0,6/1/76,0.0,,,11.0,0.0,60631,70.3,28.0,f,,1,0
12000,12000, 60 months,16.69%,296.24,E,E3,"DocuSign, Inc.",< 1 year,MORTGAGE,250000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=620131,"  Borrower added on 12/21/10 > Loan for purchase of new Harley Davidson motorcycle for my wife.<br/> Borrower added on 12/21/10 > As stated, the funds will be used to purchase a new motorcycle for my wife.  The bike in question is her &quot;dream bike.&quot;<br/><br/>I am employed by a very stable technology organization that is experiencing 100% growth year over year.  My position, although new, is also extremely stable.<br/><br/>While my monthly income is very robust (50% base salary, 50% commissions, and an additional $20k per year in Social Security benefits), my credit rate has suffered over the last few years due to the significant medical expenses incurred while my wife battled breast cancer.  She passed away in 2009.  I have since remarried. <br/><br/>I am a mature and responsible borrower. <br/><br/>I have budgeted to pay this loan off in twenty four months or less.<br/> Borrower added on 12/22/10 > I have been with my present employer since 11/1/2010.  Prior to that I was with Omega Performance Corporation as a Vice President and Regional Manager for four years.  Before Omega Performance, I was with Experian as a Strategic Account Director.  Prior to Experian, I was a Principal Consultant with Dun &amp; Bradstreet.<br/>",major_purchase,HD Loan,297xx,SC,1.42,4.0,3/1/82,5.0,15.0,,5.0,0.0,427,23.7,43.0,f,,1,0
5000,5000, 36 months,14.11%,171.15,D,D1,Premier Academy,4 years,RENT,159996.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=372668, Better rate...,credit_card,American Express,432xx,OH,6.84,0.0,12/1/95,0.0,,,11.0,0.0,18115,98.5,35.0,f,,1,0
6000,6000, 60 months,7.29%,119.63,A,A4,Port of Tacoma,7 years,MORTGAGE,130000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=650268,  Borrower added on 01/08/11 > Looking to finance a recent move and expansion of my existing dental manufacturing business. In business since 1996<br/>,small_business,Business expansion,984xx,WA,7.76,0.0,8/1/91,0.0,38.0,,13.0,0.0,4039,14.8,38.0,f,,1,0
25000,25000, 60 months,13.61%,576.67,C,C2,Greenville Hospital System,1 year,MORTGAGE,137004.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=547254,"  Borrower added on 08/05/10 > My wife and I had to go through several infertility treatments to have our 2 beautiful children.  These medical costs were not covered by insurance, and we, as a result, paid with credit cards.  I am a physician and she is a pharmacist.  We both have very stable jobs and are looking to consolidate this credit card debt.  We appreciate your consideration.<br/>",debt_consolidation,nelson debt consolidation,296xx,SC,20.69,0.0,10/1/92,0.0,,,15.0,0.0,116150,54.6,34.0,f,,1,0
25000,25000, 36 months,10.74%,815.4,B,B4,City of San Diego,10+ years,MORTGAGE,155000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=650416,,debt_consolidation,Debt Consolidation,920xx,CA,12.4,0.0,8/1/90,0.0,,,9.0,0.0,23039,26.6,36.0,f,,1,0
15000,15000, 36 months,11.49%,494.57,B,B4,Penske Automotive Group - BMW of SD,8 years,MORTGAGE,120000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=848702,  Borrower added on 08/11/11 > Trying to pay off all the credit cards in the shortest amount of time possible to get out of their high interest debt trap. I pay all my bills on time and have a steady good paying job.<br/>null,credit_card,Pay Off The Plastic For Good,920xx,CA,9.69,0.0,2/1/01,0.0,54.0,,10.0,0.0,7796,32.2,27.0,f,,1,1
30000,30000, 36 months,8.90%,952.6,A,A5,Greene & Associates Talent Agency ,3 years,MORTGAGE,200000.0,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=973082,,debt_consolidation,Credit Card,913xx,CA,6.71,0.0,1/1/00,0.0,,,11.0,0.0,8937,20.8,17.0,f,,1,0
15000,15000, 36 months,10.38%,486.69,B,B1,DEPT. OF HUMAN SERVICES,10+ years,MORTGAGE,90474.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=567843,  Borrower added on 08/20/10 > Credit Card debt consolidation<br/>,debt_consolidation,Debt Consolidation,207xx,MD,9.64,0.0,5/1/78,1.0,48.0,,20.0,0.0,22400,19.9,62.0,f,,1,0
20000,13675, 60 months,6.91%,270.21,A,A5,Bank of America,10+ years,MORTGAGE,130000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=606136,"  Borrower added on 11/01/10 > My wife and I are looking to consolidate three credit cards into one payment so we can free up monthly cash to accelerate our paydown. We are actively working with a financial advisor and this is the beginning of our process to become more financially independant and hopefully become a lender instead of a borrower.<br/> Borrower added on 11/01/10 > One other item of note is that I have been employed for 15 yrs with the same employer and I have a history of increased responsibility, increased pay, and peer and manager recognition. My current role allows me the opportunity of participating on a long term project that will span the next few years.<br/>",debt_consolidation,Debt Consolidation Loan,852xx,AZ,5.39,0.0,11/1/95,0.0,,,6.0,0.0,20964,35.6,29.0,f,,1,0
25000,25000, 36 months,12.53%,836.66,C,C1,Scottel Voice and Data,6 years,RENT,115000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=390720,Hi-  I am trying to plan my dream wedding. I am earning a great annual salary. Thanks for your understanding and help ,wedding,Mohsen,903xx,CA,1.39,0.0,5/1/03,1.0,,,9.0,0.0,30215,49.6,17.0,f,,1,1
20000,20000, 60 months,16.89%,495.87,D,D4,eChalk,4 years,RENT,120000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=761659,  Borrower added on 05/24/11 > I plan to use these funds to put a definitive timeline on paying off my debts. I have no blemishes on my credit report and pay all of my bills in a timely manner. I have been with my job for over 4 years. I am a top performer in my company and have strong future prospects.<br/>,debt_consolidation,KD's Debt Consolidation Loan,787xx,TX,15.23,0.0,1/1/96,1.0,,,11.0,0.0,25822,71.1,27.0,f,,1,0
15000,15000, 36 months,15.99%,527.29,D,D2,,2 years,MORTGAGE,100000.0,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=769216,  Borrower added on 06/08/11 > I plan on consolidating my debt into one simple hassle-free payment.  I am a hard worker and have been with my employer for many years---showing responsibility and dependability-----who better to help with a loan?<br/>,debt_consolidation,Debt Consolidation Loan,256xx,WV,9.13,0.0,5/1/95,0.0,43.0,87.0,10.0,1.0,9331,79.1,24.0,f,,1,0
35000,35000, 36 months,10.65%,1140.07,B,B2,American Health Care,3 years,MORTGAGE,112800.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1040112,  Borrower added on 11/28/11 > The purpose of this loan is to consolidate credit card debt and pay less in interest.<br>,debt_consolidation,Personal,144xx,NY,14.35,0.0,8/1/87,1.0,,,17.0,0.0,38121,59.6,35.0,f,,1,0
30000,30000, 60 months,13.49%,690.15,C,C1,Connecticut Light & Power Co,10+ years,MORTGAGE,145000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1052094,,debt_consolidation,Debt Consolidation Loan,063xx,CT,5.74,0.0,8/1/85,3.0,,,6.0,0.0,28648,61.0,26.0,f,,1,0
5000,5000, 36 months,10.99%,163.68,B,B4,Lockheed Martin,10+ years,RENT,137481.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=490338,  Borrower added on 03/03/10 > Short-term debt consolidation.<br/>,debt_consolidation,Debt Consolidation HELP,761xx,TX,4.81,1.0,6/1/85,0.0,16.0,,5.0,0.0,20042,50.9,34.0,f,,1,0
8000,8000, 36 months,7.88%,250.25,A,A5,Deutsche Boerse,1 year,MORTGAGE,122000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=515881,,credit_card,Credit Card Payoff,600xx,IL,7.55,0.0,3/1/99,5.0,,,8.0,0.0,62681,25.9,25.0,f,,1,0
16800,16800, 60 months,15.95%,408.1,D,D4,Orrick LLP ,5 years,RENT,180000.0,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=578689,"  Borrower added on 09/09/10 > I am basically looking to refinance some student loan debt with a lower rate. Please feel free to ask questions, thanks.<br/>",debt_consolidation,Debt Refinancing Loan ,946xx,CA,21.17,0.0,8/1/00,0.0,,,16.0,0.0,12318,78.0,61.0,f,,1,0
15000,15000, 36 months,9.88%,483.16,B,B1,Foster- Miller a QinetiQ NA Company,7 years,MORTGAGE,200000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=407769,This is a loan to consolidate CC debt to accelerate elimination of debt and improve credit score. There is no struggle to meet payments and am not behind/late with any payments Borrower added on 05/05/10 > Anticipate accelerated payment schedule due to salary increases and freed up cash flow<br/>,debt_consolidation,Debt Consolidation,920xx,CA,3.74,0.0,9/1/90,1.0,,,10.0,0.0,12147,67.5,18.0,f,,1,0
21000,21000, 36 months,13.16%,709.18,C,C3,Ratliff & Assoc,2 years,MORTGAGE,114000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=366175,"The amount that we've requested will be used to payoff our high interest balances & used toward our property tax bill, which is due before the end of the year.  Spouse's career is in mortgage industry & we've had to depleat our savings to make-up for the slowing in income.  We also incurred some medical bills last year & have been trying to keep our 'head above water' to maintain our good credit history, which we've worked very hard to establish over the past 10 years. Thank you for your consideration.",debt_consolidation,Debt Consolidation,762xx,TX,15.02,0.0,8/1/84,2.0,,101.0,12.0,1.0,18071,65.5,24.0,f,,1,0
21000,21000, 60 months,18.25%,536.13,D,D5,,6 years,MORTGAGE,100000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1009413,  Borrower added on 10/31/11 > Busy tax office is seeking working capital. The tax season is just around the corner. I am in need of a loan to help with operating expenses and marketing campaigns. The business has been established for over 6 years and service over 1500 clients during the tax season. The business is definitely on a growth path.<br/>,small_business,Busy Tax Office Wants to Grow,907xx,CA,13.31,0.0,1/1/95,1.0,,,16.0,0.0,13931,75.8,24.0,f,,1,1
25000,25000, 36 months,16.07%,879.85,D,D5,SAVVIS,10+ years,OWN,130000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=482362,"  Borrower added on 02/03/10 > I am a great borrower with no late payments. I am just trying to consolidate some credit card debt, since none of the banks seem to negotiate on lowering the current rates.<br/> Borrower added on 02/06/10 > I own my home, married 27 years, I am a Director of Telecommunications wit a stable company. Thanks!<br/>",credit_card,Personal Loan,945xx,CA,19.62,0.0,9/1/85,0.0,,,9.0,0.0,61165,91.3,28.0,f,,1,0
20000,20000, 60 months,18.39%,512.13,E,E2,new england tire,8 years,MORTGAGE,115000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=815910,,debt_consolidation,Credit Card,029xx,RI,7.78,0.0,8/1/97,2.0,44.0,,7.0,0.0,12340,71.3,46.0,f,,1,0
22500,22500, 36 months,11.83%,745.52,B,B3,WXYZ-TV,10+ years,MORTGAGE,93000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=470243,  Borrower added on 12/21/09 > Experienced landlord seeking funds <br/>to rehab existing rental condo.  <br/>I have managed rental properties since 1984.  <br/>I have a credit score above 730 <br/>and a 100% on-time payment history for the past 25 years.  <br/>So I represent near-zero risk to any lender.<br/>The funds from this loan would be re-paid <br/>with the rents from my existing tenants.<br/>,home_improvement,Experienced Landlord to Rehab Condo,481xx,MI,10.89,0.0,11/1/83,0.0,,,13.0,0.0,60376,47.9,27.0,f,,1,0
24000,24000, 36 months,14.96%,831.52,D,D2,AB Physical Therapy,7 years,OWN,350000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=482203,,small_business,Loan needed for business expansion,024xx,MA,11.38,0.0,10/1/86,7.0,,,13.0,0.0,1207359,56.0,33.0,f,,1,0
14000,14000, 36 months,7.51%,435.56,A,A4,pepperdine university,10+ years,MORTGAGE,140000.0,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=574270,  Borrower added on 09/01/10 > Our daughter has gone away to school and we are purchasing her car from her so I can assume ownership of her car. She cannot afford it and we want to help her.  We are excellent borrowers with an excellent credit score.  I've been employed at my current employer for 11 years in a very stable industry (graduate education). My husband is employed with a company that has Navy contracts (he's an IT professional). We have lived in the same house for 22 years.  Thank you for you assistance.<br/>,credit_card,Nicole - payoff,913xx,CA,3.05,0.0,2/1/70,0.0,28.0,,21.0,0.0,16621,20.6,50.0,f,,1,0
24000,24000, 36 months,18.43%,872.88,F,F2,Rubicon Financial,4 years,OWN,600000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=473872,  Borrower added on 01/04/10 > Thank you for your help.<br/>null,major_purchase,New Loan,900xx,CA,7.09,0.0,4/1/93,1.0,31.0,,9.0,0.0,58222,39.0,38.0,f,,1,1
12000,12000, 36 months,10.99%,392.83,B,B4,Nomura Securities,9 years,MORTGAGE,95000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=479413,"  Borrower added on 01/25/10 > Use to pay off a Discover and WellsFargo Cards (along with additional funds to do so). Intend to then drop the WellsFargo card. Balance primarily from putting two kids through college, one of which is graduating this May, 2010. Just looking to escape the outrageous credit card interest in the process.<br/><br/>Credit scores are clean since we are consistent and timely payers. Our monthly budget is no frills - we don't even have (or want) Cable TV. We have 4 cars (2 used for college, and my wife and I - we both work) and NO car payments, which we strived for.<br/><br/>My wife has had the same teaching job for 26 years. I've been with my company as a Senior IT Systems Administrator for 9 years. Our company has just expanded from a recent acquisition and it's expected it to triple its employees by next year. Not bad for this economy. Thanks for your consideration.<br/> Borrower added on 01/26/10 > Adding this info as it seems to be common questions - <br/><br/>Monthly expenses (2 parents, 4 kids); <br/>$2700/mo mortgage,<br/>$230/mo cellphone family plan (5 phones), <br/>$275/mo gas/elec., <br/>$46/mo Internet, <br/>$64/mo Phone, ~<br/>$200/mo Medical (avg), <br/>$156/mo Life Ins, <br/>$136/mo Car Ins (2 cars), <br/>$120/mo Gas,<br/>~$600/mo Food.<br/><br/>Discover Card balance $8750 @22%<br/>Wells Fargo balance $5250 @13.60%<br/>2 minimum Card payments ~$360/mo<br/><br/>Kids college expenses since 2006 (* see below); <br/>2 Tuitions totaling $5900/semester (My son graduates May 2010, final tuition already paid)<br/>1 Housing Rent $1925/semester (final rent already paid)<br/>2 Car Insurance payments for kids $256/mo<br/>2 Living expenses ~$250/mo<br/><br/>Assets;<br/>Personal Savings and INGDirect Savings ~1200.00*<br/>My 401k ~$146,000<br/>My gross yearly income $77,500<br/>My gross yearly bonus $32,000<br/>Wife's yearly gross income $79,000<br/><br/>* I trust it's evident that putting 2 kids through College has strained our savings, with the relief that one is now graduating this Spring and we can concentrate on rebuilding our savings and investments again. I will be paying approx $1600/mo LESS once my son is out of school. We had to tap into Credit Cards last August (2009) as a result to prepare for the new school year. I would love to use home equity instead, but in this economy our house value doesn't currently provide any. <br/><br/>We have a top credit score (730+) because we're consistent with all payments and take that very seriously. As mentioned in the loan app, we manage modest expenses and have strived to not have any car payments (we fully own 4 cars). I plan to drop the Wells Fargo card once paid. Thanks again<br/>",debt_consolidation,Debt Consolidation,070xx,NJ,4.47,0.0,1/1/87,0.0,81.0,,4.0,0.0,13855,42.5,21.0,f,,1,0
15000,15000, 36 months,16.69%,532.48,E,E3,Rabobank International,10+ years,MORTGAGE,124000.0,not verified,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=600879,  Borrower added on 10/19/10 > Debt consolidation<br/>,debt_consolidation,relief,105xx,NY,18.56,0.0,7/1/00,4.0,,,11.0,0.0,117200,91.2,16.0,f,,1,0
14400,14400, 36 months,7.88%,450.44,A,A5,AAA,5 years,MORTGAGE,96216.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=488263,  Borrower added on 02/22/10 > I am a homeowner in San Francisco. I bought my house several years ago. Not at the height of the market but close. The house has appreciated quite a bit but I just refinanced for a 30 year fixed and I'm not keen to deal with the mortgage companies again so soon. I'm very resourceful and I have 2 roommates who pay rent to me monthly. I've lived with my very old kitchen for several years now and I'm finally ready to have an automatic dishwasher. I can't take dishpan hands anymore.<br/>,home_improvement,Remodel my kitchen,941xx,CA,1.91,0.0,3/1/94,2.0,,,14.0,0.0,3351,0.4,47.0,f,,1,0
25000,25000, 60 months,23.91%,717.9,G,G4,Wyndham Vacation Ownership,7 years,RENT,200000.0,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1003497,"  Borrower added on 11/07/11 > I am a responsible person with a stable job since 2004. The funds will be used to pay off all revolving credit. My only other debt is a car lease and student loan.<br/> Borrower added on 11/08/11 > Additionally, I will pay the lending club loan off timely.<br>",debt_consolidation,Loan,347xx,FL,9.55,0.0,4/1/71,1.0,,,29.0,0.0,29680,45.8,41.0,f,,1,0
12000,12000, 60 months,19.04%,311.56,F,F3,Hoag Hospital,8 years,MORTGAGE,100000.0,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=555429,"  Borrower added on 07/28/10 > I have an income property opportunity to get involved in with my Dad's company that will bring in positive cash flow and with the market these days and low real estate values this could make a difference for me and my family's future<br/> Borrower added on 07/29/10 > My Dad works for an investment company that buys out of state properties for rental use in growing areas such as the midwest i.e Texas, Oklahoma, St. Loius.. I like the idea of obviously making extra money every month while being able to afford a fairly cheaper homes in hoping that by buying a first i will be able to buy a few in the next 10 years making me elibile to be at hom more with my kids.<br/> Borrower added on 07/29/10 > I'm a registered nurse and have been with the same company for 8 years..just like last time (borrowed when i went on LOA with our first child) I plan on having the monies loaned returned within 6 months.<br/>",other,income property,926xx,CA,24.57,0.0,4/1/97,5.0,,,15.0,0.0,26561,91.5,39.0,f,,1,0
16000,3325, 36 months,6.54%,101.97,A,A4,BP North America,4 years,MORTGAGE,100000.0,VERIFIED - income,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=614770,"  Borrower added on 11/13/10 > FICO&reg; Score: 743 on August 15, 2010 (this is from myfico.com; a monthly subscription to monitor my credit)<br/>",debt_consolidation,Consolidate to help with College Wife,775xx,TX,6.05,0.0,12/1/89,0.0,79.0,,5.0,0.0,11006,65.1,36.0,f,,1,0
15000,15000, 36 months,14.83%,518.74,D,D3,,9 years,MORTGAGE,150000.0,VERIFIED - income source,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=637481,  Borrower added on 12/24/10 > This is going to be used to complete several projects in our home. I am looking forward to bringing our home up to date (bathrooms especially). My employer is extremely solid and has been in business for over 60 years. We have shown growth even in tough times. I have been on an upward track in sales/salary for the last 8 years.<br/>,debt_consolidation,Debt Consolidation Loan,080xx,NJ,14.9,0.0,3/1/98,6.0,,,14.0,0.0,10976,68.6,22.0,f,,1,0
