Date,Revenue,Southwest,Central,Northeast,Northwest,South,Southeast,Energy,Industrials,Consumer,Agricultural,Durable,Lagged
5/6/10,3233.502,2117.94,4684.47,2918.49,5678.64,724.81,6547.64,5217.51,6271.71,2456.85,4370.96,2936,77.29
5/7/10,2449.608,2019.87,3521.22,2426.7,5879.17,943.72,6721.19,5981.61,8730.49,3096.44,3901.36,3154.31,68.59
5/8/10,2705.97,2318.42,4405.78,2928.9,7782.32,992.57,7796.1,5869.26,7692.05,2474.43,3412.73,3164.4,70.24
5/9/10,3240.798,1855.63,3878.67,3330.9,5565.22,547.57,7522.75,7315.83,7092.12,2558.98,3099.92,2818.91,78.01
5/10/10,2388.846,1983.02,3918.69,3814.59,6341.22,1065.19,6281.4,5538.37,8666.18,2145.93,3257.15,4846.76,71.84
5/11/10,2829.816,2050.72,3387.05,3495.2,6165.42,824.17,8537.15,5884.19,6544.72,3185.11,4583.05,3307.42,76.23
5/12/10,2603.256,1984.95,4323.63,3144.72,4751.62,741.75,6931.57,7013.61,9219.61,2700.59,2353.34,3972.26,69.11
5/13/10,2964.084,1978.85,4465.3,2846.79,5621.5,1075.29,7897.02,4292.26,5693.5,1969.47,3630.05,3868.13,67.73
5/14/10,2750.724,1356,4195.57,3341.08,4044.21,884.79,9877.22,5911.94,7272.1,3207.54,2841.73,3519.46,71.54
5/15/10,2256.288,2330.1,3722.36,3316,5161.17,1162.8,6294.37,7651.85,9343.83,2220.99,3201.14,3732.12,63.41
5/16/10,2672.604,2243.51,4640.62,3543.17,6531.78,660.07,7690.85,5697.91,6592.8,2342.63,3478.23,3148.39,72.26
5/17/10,2622.552,1977.56,4334.44,2300.98,5182.22,770.48,8407.47,7222.83,5500.83,3646.23,2826.17,3011.23,66.99
5/18/10,3384.156,2375.94,4679.49,3000.49,6943.57,1042.92,7948.01,3719.72,7348.36,2703.45,3476.91,3683.26,75.94
5/19/10,2412.714,2207.32,4062.5,3315.61,6023.85,641.87,9258.13,6039.97,6930.74,2394.07,4383.28,3095.17,72.74
5/20/10,2554.848,1787,3659.66,2612.55,6831.34,907.84,7306.58,6634.73,6869.21,2856.47,4288.45,3634.39,70.31
5/21/10,2740.914,2085.83,4773.38,2924.67,6670.27,877.6,7807.79,4554.13,6415.48,2837.17,3460.17,3166.08,72.97
5/22/10,2292.312,1797.74,4879.57,3372.97,4503.86,811.92,8212.78,8087.82,7765.65,3136.17,2825.17,3858.74,66.06
5/23/10,3278.358,1632.75,3764.37,2292.46,8216.14,910.79,6112.58,5467.06,5784.62,2189.92,4118.01,3193.41,76.83
5/24/10,2194.638,1841.6,3397.99,3556.61,5453.49,776.77,8216.36,5636.75,5879.53,3024.92,3480.33,3559.18,71.15
5/25/10,3467.376,1956.05,5088.2,2545.56,6332.59,959.68,5439.15,6452.92,6554.56,2811.06,2817.58,4751.64,77.69
5/26/10,3370.512,2160.99,3534.43,2842.37,6652.06,676.69,7927.89,5637.65,7504.53,2277.08,3379.3,2215.45,78.17
5/27/10,3534.642,1973.92,3983.25,2901.07,6382.62,762.12,7957.05,6715.94,7730.81,2263.82,3212.7,3269.9,77.89
5/28/10,4381.476,2104.64,4689.65,3134.54,5742.61,978.22,5410.88,5223.86,6655.91,2159.01,3381.4,3447.64,80.75
5/29/10,4840.302,1693.1,4014.73,3721.62,5968.69,773.94,9492.22,5417.37,7303.38,2687.16,4779.03,3155.16,83.84
5/30/10,4965.306,1765.19,4611.32,3068.89,6238.13,893.92,4998.39,4843.08,7542.4,2740.36,2902.53,4195.56,83.38
5/31/10,5653.176,2400.28,4451.6,3422.76,7214.66,852.43,8389.53,7040.08,6843.99,2563.14,4749.88,4246.26,80.76
6/1/10,4429.254,1604.95,5078.92,3032.85,4894.7,1096.3,7853.24,5165.5,7593.51,3198.93,2717.15,3802.17,81.2
6/2/10,4525.788,2103.29,4809.85,3087.24,6087.6,922.72,7951.79,4564.08,6238.29,1137.45,2904.32,4431.64,75.91
6/3/10,2714.538,1978.16,3887.52,3964.7,5824.51,690.35,8769.6,5118,5035.1,2759.05,3073.55,3203.93,70.39
6/4/10,3023.076,1719.48,4383.83,2681.35,6877.52,940.56,7274.17,6112.08,7985.39,2521.41,3392.67,2937.92,71.7
6/5/10,3440.31,2443.22,3900.04,3062.83,6648.87,898.86,6937.2,4981.27,4527.77,1957.84,3869.55,3521.32,71.85
6/6/10,1923.636,1664.83,4220.79,2219.09,4844.43,1099.33,8415.22,6974.43,7053.03,2810.31,3783.91,3619.29,65.74
6/7/10,2870.688,1706.59,4963.74,2995.93,5466.42,828.28,6850.2,5841.99,7295.93,2689.96,3475.55,3471.88,72.03
6/8/10,2428.278,2101.28,3857.24,4023.31,6686.21,798.57,9016.01,6611.6,4928.9,2812.78,3260.87,3068.6,72.75
6/9/10,2866.182,1798.76,4176.11,2922.44,6663.42,819.38,6246.51,6845.48,9273.27,2850.21,2498.32,3410.01,71.28
6/10/10,3463.098,2022.02,4530.45,3652.68,6391.25,895.3,7216.25,4083.58,7125.19,2334.8,4001.07,4244.17,71
6/11/10,2873.262,1521.09,3317.18,2791.36,5238.07,950.55,7619.4,6785.5,7043.89,2847.73,2556.75,4072.07,73.47
6/12/10,2943.144,2297.94,4720.82,2348.36,4648.93,942.44,7520.04,6482.53,6329.18,1938.35,3840.84,3921.16,69.92
6/13/10,2573.52,1617.07,3100.51,3456.91,6445.03,839.44,10223.64,5067.92,6797.21,3037.48,4269.55,3381.06,69.88
6/14/10,2171.676,1866.95,3488.59,2757.22,7137.68,1066.75,5599.28,6112.77,7243.93,2581.38,3261.62,3725.03,66.65
6/15/10,2945.61,2173.38,3869.54,3478.23,6149.37,747.8,6256.94,4927.96,7123.73,1980.3,4094.08,2905.12,73.57
6/16/10,2621.568,1404.37,3211.86,2669.03,6819.33,965.66,8596.98,6335.8,8801.7,2709.92,3317.17,4153.21,74.63
6/17/10,2690.202,2177.43,4432.52,2457.31,5816.67,1065.93,7865.65,5712.84,6628.85,2079.7,3090.85,3182.49,71.88
6/18/10,2907.06,2000.97,4145.23,4151.79,5698.47,603.75,7451.08,6781.08,5523.69,2604.85,3272.46,3475.1,71.18
6/19/10,1999.284,1745.88,5479.04,3291.22,7172.42,1146.31,8102.11,7378.74,7130.49,2374.48,2716.11,4268.78,67.92
6/20/10,2916.186,1845.14,4829.27,3077.72,6450.32,903.54,6843.52,5493.82,6712.66,2515.35,4609.79,3333.38,67.42
6/21/10,2247.906,1735.64,4576.19,3348.97,4997.15,910.21,7389.84,7057.47,7889.65,2834.25,3265.41,3317.28,70.53
6/22/10,2974.518,2510.79,5091.32,2461.75,8870.51,983.27,6176.04,5474.01,7109.13,2078.38,3498.54,3503.66,70.59
6/23/10,2571.54,1899.57,4086.84,3710.48,4953.48,814.94,8385.51,6253.57,6250.18,2702.65,4190.74,3285.24,65.42
6/24/10,2631.75,1933.66,4654.41,3255.34,7098.49,1175.18,6386.17,6465.91,8185.18,2428.54,3440.85,3840.84,66.6
6/25/10,2963.232,2727.94,3806.99,3267.16,4981.38,783.41,7522.35,5145.82,7836.65,2097.74,4292.46,4015.84,73.98
6/26/10,2732.904,1452.95,3325.24,2946.63,4544.93,999.14,9182.21,5643.97,8036.04,2805.43,3744.43,3725.63,70.68
6/27/10,2829.168,2343.46,4948.37,2275.86,6520.33,850.9,7242.23,6344.82,6563.35,2608,3496.08,3967.76,74.68
6/28/10,3497.202,2263.92,3527.55,3019.15,5690.26,957.49,7569.64,5411.69,7059.95,3006.1,3637.08,3535.29,71.67
6/29/10,2068.776,1684.84,3699.72,2777.93,7697.76,1002.96,5317.5,6396.97,8046.97,2339.49,3008.34,4616.53,68.47
6/30/10,3671.928,2156.42,4919.87,2296.46,6464.23,971.67,8173.18,5656.81,6972.99,2327.07,4656.81,3225.28,79.27
7/1/10,3328.662,1866.25,2359.9,3621.24,5980.76,998.45,7492.66,6323.14,6564.69,3297.4,4232.15,4010.95,78.95
7/2/10,4092.9,2345.9,5857.63,2022.7,8012.31,960.81,7086.92,5646.62,6851.03,2547.86,2789.96,3564.73,76.29
7/3/10,4400.964,2127.99,3761.72,2897.56,6446.96,741.7,8363.52,5184.3,5466.75,2857.42,3613.07,3201.69,81.05
7/4/10,4452.432,1696.28,3580.57,2985.04,5961.1,905.02,6936.05,5653.72,7188.79,2299.59,3740.98,3303.2,77.89
7/5/10,4212.414,2570.35,3916.75,3114.22,6272.9,599.86,5830.57,6056.4,6561.66,2668.36,4429.37,2829.63,76.08
7/6/10,3173.958,1449.68,4475.4,3184.93,5780.32,958.98,6187.34,5658.9,4714.77,2878.25,3098.83,3945.82,76.04
7/7/10,4387.218,1528.62,4718.47,2811.66,6086.66,1058.37,6206.91,5727.34,7432.24,2554.28,2828.52,3594.67,77.58
7/8/10,4202.61,1896.35,3231.88,3784.75,5758.16,692.05,7741.22,7488.7,7607.6,2811.96,4319.45,3083.37,82.22
7/9/10,2822.628,1687.92,3796.34,3059.58,5612.55,851.68,8557.36,7489.94,8664.98,2112.57,3969.98,4230.56,67.68
7/10/10,4306.476,2433.09,3552.88,2950.76,5806.77,903.87,8057.28,6373.45,7056.96,2978.69,3530.3,3466.42,79.35
7/11/10,2952.138,1920.99,4524.75,3198.27,4366.2,903.34,7984.59,7549.46,7017.35,2933.77,3846.44,4188.47,73.17
7/12/10,3206.82,2276.88,4472.96,2932.84,8860.5,855,7540.27,4986.86,7295.39,2921.85,2565.48,3357.53,70.13
7/13/10,3355.74,2082.32,3772.58,3199.64,5762.6,903.94,10041.28,5931.46,8782.44,2409.62,4017.45,2748.91,70.9
7/14/10,2617.29,2076.59,3523.35,3165.8,6539.87,1038.26,6855.76,5376.69,7652.41,2978.69,3908.59,4045.92,67.7
7/15/10,3157.872,2234.09,4042.55,2603.92,5085.91,965,7534.2,6045.7,6859.96,1970.28,3995.8,3349.31,73.75
7/16/10,2613.42,1796.14,3508.75,3365.51,4632.4,798.33,6701.67,7472,8905.88,2217.68,3297.08,3246.7,67.99
7/17/10,2871.582,2101.21,4420.53,2465.06,7864.55,821.85,7463.44,4210.49,7860.38,2335.12,2747.25,4131.81,67.38
7/18/10,2806.992,2156.27,4215.5,3057.49,5751.47,845.78,7988.98,6423.49,6123.13,2809.43,3511.73,3413.08,70.75
7/19/10,2389.056,2164.43,4353.24,3051.95,5181,967.85,7250.53,4983.89,8016.52,3077.58,3146.69,4455.4,68.64
7/20/10,3594.984,2215.38,4666.37,2606.04,6821.22,878.15,6690.89,6641.91,5890.76,2162.41,4524.92,3508.87,77.82
